type,topic,root_subtopic,negative_mods,positive_mods
AIRLINE,Air freight services,Cargo Handling,"damaged, lost, mishandled, Poor Experience with","efficient, secure, careful, Great Experience with"
AIRLINE,Air freight services,Documentation,"confusing, incorrect, slow process, Poor Experience with","clear, accurate, easy process, Great Experience with"
AIRLINE,Air freight services,Tracking,"inaccurate updates, no updates, difficult to use, Poor Experience with","accurate updates, real-time, easy to use, Great Experience with"
AIRLINE,Air freight services,Delivery,"delayed, incomplete, missed, Poor Experience with","on time, fast, complete, Great Experience with"
AIRLINE,Air freight services,Customer Support,"unhelpful staff, unresponsive, uninformed, Poor Experience with","helpful staff, responsive, knowledgeable, Great Experience with"
AIRPORT,Check-in Process,Check-in Process,"confusing, slow, complicated, Poor Experience with","smooth, efficient, quick, Great Experience with"
AIRPORT,Check-in Process,Staff Assistance,"unhelpful, rude, unprofessional, Poor Experience with","helpful, friendly, professional, Great Experience with"
AIRPORT,Check-in Process,Self-Service Kiosks,"malfunctioning, difficult to use, slow, Poor Experience with","easy to use, functional, fast, Great Experience with"
AIRPORT,Check-in Process,Waiting Time,"long, excessive, crowded","short, minimal, no queue"
AIRLINE,Flights,Flight Status,"delayed, cancelled, rescheduled, late departure","on time, early arrival, smooth departure"
AIRLINE,Flights,In-flight Service,"unresponsive crew, uncomfortable seating, poor amenities, Poor Experience with","attentive crew, comfortable seating, good amenities, Great Experience with"
AIRLINE,Flights,Customer Interaction,"unhelpful staff, slow response, Poor Experience with","helpful staff, quick resolution, Great Experience with"
AIRLINE,Flights,Baggage Service,"lost baggage, damaged baggage, delayed delivery, Poor Experience with","on time delivery, careful handling, Great Experience with"
AIRLINE,Tickets,Booking Process,"complicated, technical issues, unclear steps, Poor Experience with","user friendly, efficient, clear steps, Great Experience with"
AIRLINE,Tickets,Ticket Pricing,"high cost, hidden charges, misleading, unjustified","reasonable, transparent, good value, competitive"
AIRLINE,Tickets,Changes and Refunds,"rigid policy, delayed refund, complex procedure, Poor Experience with","flexible policy, prompt refund, simple procedure, Great Experience with"
AIRLINE,Tickets,Customer Service,"unresponsive staff, slow resolution, misinformation, Poor Experience with","supportive staff, quick resolution, well informed, Great Experience with"
AIRLINE,Baggage Services,Baggage Handling,"rough, damaged, slow, Poor Experience with","smooth, careful, efficient, Great Experience with"
AIRLINE,Baggage Services,Baggage Claim,"long wait, confusing, delayed, Poor Experience with","quick, easy, fast, Great Experience with"
AIRLINE,Baggage Services,Baggage Policy,"unclear, hidden, expensive, Poor Experience with","clear, fair, transparent, Great Experience with"
AIRLINE,Baggage Services,Lost and Found,"unhelpful staff, slow resolution, item lost, Poor Experience with","helpful staff, quick resolution, item found, Great Experience with"
AIRLINE,Boarding services,Boarding Process,"slow, confusing, disorganized, Poor Experience with","smooth, efficient, quick, Great Experience with"
AIRLINE,Boarding services,Staff Assistance,"unhelpful, rude, unprofessional, Poor Experience with","helpful, friendly, courteous, Great Experience with"
AIRLINE,Boarding services,Gate Environment,"crowded, unclean, uncomfortable, Poor Experience with","comfortable, clean, spacious, Great Experience with"
AIRLINE,Boarding services,Communication,"unclear, delayed, misleading, Poor Experience with","clear, timely, accurate, Great Experience with"
AIRLINE,Quality of services provided on board,Cabin Crew,"unhelpful, rude, inattentive, unprofessional, Poor Experience with","helpful, attentive, friendly, professional, Great Experience with"
AIRLINE,Quality of services provided on board,In-flight Entertainment,"limited selection, not working, poor quality, Poor Experience with","good selection, working well, diverse options, Great Experience with"
AIRLINE,Quality of services provided on board,Food and Beverage,"bland, limited options, cold, delayed service, Poor Experience with","tasty, good variety, fresh, on time, Great Experience with"
AIRLINE,Quality of services provided on board,Seat Comfort,"cramped, uncomfortable, dirty, broken, Poor Experience with","spacious, comfortable, clean, Great Experience with"
AIRLINE,Flight Announcement,Announcement Content,"Confusing, Inaccurate, Misleading, Incomplete","Clear, Accurate, Informative, Concise"
AIRLINE,Flight Announcement,Announcement Delivery,"Inaudible, Delayed, Unclear audio, Poor visibility","Audible, Timely, Visible, Accessible"
AIRLINE,Flight Announcement,Information Updates,"Late updates, Conflicting info, No updates","Prompt updates, Timely changes, Reliable info"
AIRLINE,Flight Announcement,Overall Experience,Poor Experience with,Great Experience with
AIRPORT,Baggage,Baggage Claim,"long wait, slow delivery, Poor Experience with","quick delivery, efficient process, Great Experience with"
AIRPORT,Baggage,Baggage Handling,"damaged luggage, rough handling, Poor Experience with","careful handling, secure process, Great Experience with"
AIRPORT,Baggage,Lost and Found,"unresponsive staff, difficult process, Poor Experience with","helpful staff, quick recovery, Great Experience with"
AIRPORT,Baggage,Baggage Drop-off,"long queues, slow service, Poor Experience with","smooth process, quick service, Great Experience with"
AIRLINE,Security Notice,Security Checkpoint,"slow, long wait, confusing, Poor Experience with","efficient, smooth process, well organized, Great Experience with"
AIRLINE,Security Notice,Security Staff,"unprofessional, rude, unhelpful, Poor Experience with","professional, helpful, courteous, Great Experience with"
AIRLINE,Security Notice,Security Procedures,"unclear, inconsistent, excessive, Poor Experience with","clear, effective, fair, Great Experience with"
AIRLINE,Security Notice,Security Communication,"delayed, misleading, lack of info, Poor Experience with","timely, informative, clear instructions, Great Experience with"
AIRLINE,FIDS,Flight Information,"inaccurate, unclear, hard to read, Poor Experience with","accurate, clear, easy to read, Great Experience with"
AIRLINE,FIDS,Updates,"delayed, outdated, missing","timely, real time, up to date"
AIRLINE,FIDS,Display Visibility,"hidden, poorly placed, difficult to find","visible, well placed, easy to find"
AIRPORT,Transportation,Shuttle Service,"delayed, crowded, unclean, Poor Experience with","on time, convenient, clean, Great Experience with"
AIRPORT,Transportation,Taxi Service,"unavailable, overpriced, long wait, Poor Experience with","readily available, fair price, quick, Great Experience with"
AIRPORT,Transportation,Parking,"full, expensive, confusing, Poor Experience with","easy to find, affordable, secure, Great Experience with"
AIRPORT,Transportation,Public Transport,"confusing signs, infrequent, not accessible, Poor Experience with","clear signs, accessible, frequent, Great Experience with"
AIRLINE,Customers service,Staff Interaction,"unhelpful, rude, unprofessional, slow response, Poor Experience with","helpful, friendly, professional, efficient, Great Experience with"
AIRLINE,Customers service,Support Channels,"inaccessible, unresponsive, difficult to use, Poor Experience with","accessible, responsive, easy to use, Great Experience with"
AIRLINE,Customers service,Issue Resolution,"slow resolution, ineffective, unfair outcome, Poor Experience with","quick resolution, effective, fair outcome, Great Experience with"
AIRLINE,Customers service,Information Clarity,"unclear, inaccurate, misleading, Poor Experience with","clear, accurate, timely, easy to understand, Great Experience with"
AIRPORT,Services and public facilities,Cleanliness,"dirty, unhygienic, poorly maintained, Poor Experience with","spotless, well maintained, hygienic, Great Experience with"
AIRPORT,Services and public facilities,Restrooms,"unclean, small, out of order, Poor Experience with","clean, spacious, well stocked, Great Experience with"
AIRPORT,Services and public facilities,Information,"confusing signage, unhelpful staff, hard to find, Poor Experience with","clear signage, helpful staff, easy to find, Great Experience with"
AIRPORT,Services and public facilities,Seating,"uncomfortable, limited, unavailable, Poor Experience with","comfortable, ample, available, Great Experience with"
AIRPORT,Services and public facilities,Accessibility,"difficult access, not inclusive, Poor Experience with","wheelchair friendly, easy access, inclusive, Great Experience with"
AIRPORT,Security Notice,Security Screening,"slow, delayed, confusing, poor experience with","efficient, quick, smooth, great experience with"
AIRPORT,Security Notice,Information & Guidance,"unclear, misleading, late, hard to find","clear, helpful, timely, easy to understand"
